Actual Ranking,Change Ranking,Country,Speed
1,-,Singapore,284.05
2,1,Hong Kong (SAR),271.29
3,1,Chile,270.19
4,-2,United Arab Emirates,266.36
5,1,Iceland,253.89
6,-1,United States,249.86
7,-,France,243.47
8,2,Thailand,232.3
9,2,Denmark,230.25
10,-2,China,225.32
11,1,Spain,218.84
12,-3,Monaco,216.52
13,-,Romania,211.81
14,-,Switzerland,204.92
15,-,Israel,199.21
16,-,Canada,198.17
17,-,Japan,197.01
18,-,Netherlands,190.96
19,20,Andorra,189.65
20,-1,Liechtenstein,188.53
21,-,Portugal,180.49
22,1,Taiwan,178.82
23,-3,Hungary,178.73
24,-,New Zealand,175.06
25,-3,Kuwait,169.29
26,-,Brazil,161.72
27,-,Macau (SAR),159.94
28,2,Sweden,157.12
29,-1,Poland,156.44
30,-1,Qatar,153.64
31,-,Panama,151.79
32,5,Uruguay,149.42
33,3,Colombia,147.21
34,-2,Luxembourg,145.24
35,-2,Jordan,144.19
36,-2,Peru,143.35
37,1,Norway,141.67
38,7,Malaysia,137.12
39,-14,South Korea,133.71
40,-5,Moldova,129.01
41,2,Finland,121.91
42,-1,Trinidad and Tobago,120.46
43,4,Vietnam,120.32
44,-4,Lithuania,119.1
45,-3,Ireland,116.73
46,-2,Malta,115.95
47,3,Saint Lucia,111.1
48,-2,Saudi Arabia,110.04
49,-1,United Kingdom,106.54
50,1,Belgium,99.33
51,2,Austria,98.43
52,-3,San Marino,95.5
53,13,Barbados,94.68
54,-2,Philippines,94.19
55,4,Saint Vincent and the Grenadines,94.17
56,-2,Slovenia,93.75
57,-1,Costa Rica,93.62
58,3,Ecuador,93.39
59,-2,Latvia,93.22
60,-2,Germany,91.42
61,1,Paraguay,90.85
62,5,Grenada,89.17
63,-8,Dominica,88.66
64,-4,Cyprus,88.08
65,4,Estonia,88.06
66,-1,Russia,87.73
67,-4,Bahrain,86.49
68,7,Slovakia,85.47
69,4,Argentina,84.2
70,-6,Montenegro,83.34
71,1,Bulgaria,83.14
72,-2,Serbia,83.11
73,-2,Italy,81.88
74,-,Brunei,80.13
75,-7,Guyana,79.75
76,-,Ukraine,79.48
77,2,Jamaica,77.27
78,8,Egypt,76.86
79,-2,Kosovo,72.31
80,-,Czechia,71.09
81,10,Oman,70.96
82,1,Mongolia,70.91
83,-1,Côte d'Ivoire,69.5
84,-6,Croatia,69.24
85,4,Mexico,66.71
86,-5,The Bahamas,66.58
87,-2,Palestine,66.47
88,-4,Nepal,65.84
89,1,Uzbekistan,64.5
90,2,India,64.45
91,-4,Belarus,63.45
92,2,Australia,63.38
93,-5,Saint Kitts and Nevis,63.08
94,-1,Albania,61.97
95,-,Kyrgyzstan,61.8
96,-,Armenia,54.95
97,-,Nicaragua,53.09
98,2,El Salvador,52.53
99,-1,Kazakhstan,51.83
100,-1,Mauritius,51.68
101,-,Guatemala,50.95
102,-,Greece,50.52
103,1,Venezuela,48.77
104,-1,South Africa,47.3
105,-,Belize,46.52
106,2,Bangladesh,46.52
107,-1,Honduras,45.54
108,-1,Cambodia,45.22
109,4,North Macedonia,44.7
110,2,Burkina Faso,43.55
111,15,Seychelles,43.25
112,2,Congo,42.22
113,-3,Turkey,41.51
114,-5,Gabon,40.95
115,-,DR Congo,39.83
116,1,Azerbaijan,39.24
117,2,Antigua and Barbuda,38.96
118,-7,Ghana,37.07
119,2,Laos,35.93
120,2,Iraq,34.85
121,-3,Haiti,34.41
122,-2,Dominican Republic,34.12
123,-,Bolivia,32.71
124,1,Bosnia and Herzegovina,31.88
125,4,Morocco,31.15
126,2,Indonesia,30.22
127,-,Rwanda,29.96
128,-4,Togo,29.66
129,4,Tajikistan,28.89
130,1,Georgia,27.14
131,-15,Madagascar,26.77
132,-,Lesotho,26.17
133,3,Mauritania,24.97
134,-4,Western Sahara,24.79
135,-1,Benin,24.05
136,1,Mali,22.85
137,4,Sierra Leone,22.84
138,-,Sri Lanka,22.51
139,3,Senegal,22.51
140,-1,Nigeria,21.76
141,2,Myanmar (Burma),20.81
142,-2,Zambia,19.72
143,1,Angola,19.53
144,-9,Malawi,19.16
145,2,Fiji,18.55
146,-1,Tanzania,18.47
147,1,Djibouti,16.82
148,-2,Swaziland,16.13
149,1,Cape Verde,15.74
150,4,Mozambique,15.59
151,11,Lebanon,15.4
152,-3,Somalia,15.32
153,-,Pakistan,14.85
154,3,Algeria,14.44
155,6,Sudan,14.33
156,-,Iran,14.23
157,-5,Zimbabwe,14.04
158,2,Namibia,13.77
159,-4,Uganda,13.64
160,-2,Bhutan,13.45
161,5,Maldives,13.07
162,2,Papua New Guinea,12.15
163,-4,Vanuatu,11.8
164,1,Suriname,11.74
165,-2,Libya,11.16
166,1,Kenya,10.58
167,1,Guinea,10.38
168,3,Cameroon,10.18
169,1,Tunisia,9.73
170,-1,Liberia,9.25
171,1,Ethiopia,8.8
172,3,Niger,8.53
173,-,Botswana,8.21
174,5,The Gambia,7.46
175,3,Burundi,7.05
176,-2,Yemen,7.01
177,-1,Turkmenistan,6.55
178,-1,East Timor,6.23
179,1,Syria,4.51
180,1,Afghanistan,3.44
181,1,Cuba,2.95
